# qnx_gles2_bench_version=2
# gl_vendor=Qualcomm
# gl_renderer=Adreno (TM) 320
# gl_version=OpenGL ES 2.0 3929146
# surface=1024x480
# render=480x272
# fbo_format=rgba8
# requested_buffers=3
# actual_render_buffers=3
# routed=1
# cpu_affinity=0
# driver_control=none
# binning=default
# writeonly=0
# discard_framebuffer_ext=1
# timer=ClockCycles
# timer_cycles_per_second=6750000
# timer_syspage_raw=28991029248000000
# timer_tick_shift=32
scenario,samples,work_per_sample,work_unit,call_mean_ms,call_p50_ms,call_p95_ms,finish_mean_ms,finish_p95_ms,total_mean_ms,total_p95_ms,total_max_ms,work_per_second,gl_errors
clear,60,130560,pixels,0.0618,0.0581,0.0919,0.9404,2.5809,1.0022,2.6321,6.7333,130276676.455,0
draw_100,60,100,draws,0.6002,0.5013,1.0040,1.8839,4.9824,2.4841,5.4833,7.2987,40255.456,0
draw_500,60,500,draws,2.8018,2.3441,4.9421,2.9920,6.0710,5.7938,10.5969,13.8852,86299.707,0
draw_1000,60,1000,draws,8.0699,7.3704,13.7487,4.0729,10.0976,12.1428,21.3204,26.9159,82353.382,0
draw_batched_10,60,1000,logical_draws,0.1939,0.1385,0.4025,3.4401,6.2633,3.6340,6.7554,13.9496,275176.473,0
draw_batched_1,60,1000,logical_draws,0.1129,0.0899,0.1713,3.0570,6.9043,3.1699,6.9773,11.0407,315466.798,0
uniform_1000x4,60,1000,draws,17.5804,17.3022,24.3901,4.9461,7.9791,22.5264,29.9849,38.2326,44392.339,0
uniform_cached8,60,1000,draws,7.0999,6.7222,9.8813,3.7953,8.8477,10.8953,15.8844,16.7176,91783.085,0
uniform_vec4fv,60,1000,draws,14.2027,13.8228,18.6293,4.4677,7.8982,18.6704,22.9476,28.0484,53560.732,0
texture_1000,60,1000,draws,16.0752,15.4361,20.7110,4.2314,7.2892,20.3065,25.5683,29.2403,49245.236,0
texture_cached8,60,1000,draws,7.0404,6.7917,9.9077,3.2308,5.6994,10.2712,13.6625,17.2227,97359.355,0
state_1000,60,1000,draws,9.2822,9.1570,12.8464,3.4197,6.3816,12.7019,16.2167,24.2458,78728.558,0
state_cached8,60,1000,draws,6.0340,5.7407,8.1828,3.0799,7.5831,9.1138,13.4870,16.0920,109723.246,0
program_1000,60,1000,draws,7.2718,6.6831,10.6290,3.2332,6.3059,10.5050,16.0713,19.7173,95193.195,0
ppsspp_like,60,1000,draws,19.6175,19.2837,25.0391,4.3985,7.4175,24.0160,30.5450,37.6526,41638.994,0
ppsspp_optimized,60,1000,draws,9.7076,9.3627,13.5273,4.6004,11.3173,14.3081,22.2307,24.9507,69890.575,0
fill_1x,60,130560,pixels,0.1590,0.0830,0.4990,1.9014,4.5548,2.0603,4.6582,6.8713,63368173.749,0
fill_8x,60,1044480,pixels,0.1679,0.1289,0.2764,2.9982,5.4345,3.1660,5.5520,7.0590,329901174.150,0
fill_32x,60,4177920,pixels,0.2924,0.2618,0.4160,6.2189,10.0727,6.5113,10.3680,15.3243,641639923.394,0
fill_32x_discard,60,4177920,pixels,0.3636,0.2683,0.6887,5.7206,9.7123,6.0843,10.8985,12.0843,686675798.633,0
upload_4mb,60,4194304,bytes,3.4107,2.8738,5.9150,1.1447,3.3643,4.5554,8.9625,13.0585,920739893.840,0
readback,60,522240,bytes,1.9262,1.3302,4.4763,1.0050,2.9356,2.9312,6.9077,8.9453,178168521.149,0
swap,60,1,frames,6.6740,5.7178,15.2227,1.6166,3.8825,8.2906,16.7237,19.3567,120.619,0
