# qnx_gles2_bench_version=2
# gl_vendor=Qualcomm
# gl_renderer=Adreno (TM) 320
# gl_version=OpenGL ES 2.0 3929146
# surface=1024x480
# render=480x272
# fbo_format=rgba8
# requested_buffers=3
# actual_render_buffers=3
# routed=1
# cpu_affinity=-1
# driver_control=none
# binning=default
# writeonly=0
# timer=ClockCycles
# timer_cycles_per_second=6750000
# timer_syspage_raw=28991029248000000
# timer_tick_shift=32
scenario,samples,work_per_sample,work_unit,call_mean_ms,call_p50_ms,call_p95_ms,finish_mean_ms,finish_p95_ms,total_mean_ms,total_p95_ms,total_max_ms,work_per_second,gl_errors
clear,50,130560,pixels,0.0923,0.0603,0.1126,1.0422,3.5268,1.1345,3.5927,5.1387,115083615.263,0
draw_100,50,100,draws,0.5569,0.5141,0.6585,1.6071,4.7683,2.1640,5.2975,6.0978,46210.287,0
draw_500,50,500,draws,2.6565,2.2603,4.5843,2.4020,4.9604,5.0585,7.5044,10.4901,98844.047,0
draw_1000,50,1000,draws,5.1189,4.8258,6.6139,3.0202,6.5508,8.1390,12.3363,13.9416,122864.888,0
draw_batched_10,50,1000,logical_draws,0.1351,0.1280,0.1747,1.9753,4.1695,2.1104,4.3027,5.8582,473854.576,0
draw_batched_1,50,1000,logical_draws,0.1008,0.0947,0.1342,2.5545,5.9400,2.6553,6.0652,7.3016,376607.762,0
uniform_1000x4,50,1000,draws,15.7981,15.9169,17.9561,4.1873,7.8864,19.9854,24.0865,26.4662,50036.539,0
uniform_cached8,50,1000,draws,6.7302,6.6366,8.7333,3.7608,6.4081,10.4909,14.5418,18.0547,95320.408,0
uniform_vec4fv,50,1000,draws,13.3756,13.2379,15.6160,4.3191,9.8705,17.4199,24.2767,25.5913,57405.508,0
texture_1000,50,1000,draws,15.9036,15.6791,18.2166,3.6963,6.1966,19.5998,24.3593,25.3773,51020.803,0
texture_cached8,50,1000,draws,6.5935,6.1117,8.5521,2.9245,5.7476,9.5179,13.2613,16.1751,105064.650,0
state_1000,50,1000,draws,8.0264,7.9147,9.9479,3.5565,7.1341,11.5829,14.9283,16.5319,86333.832,0
state_cached8,50,1000,draws,5.6135,5.4354,7.2804,3.1776,6.4692,8.7911,12.4387,13.1541,113751.577,0
program_1000,50,1000,draws,6.4293,6.1326,8.1170,3.0692,7.1193,9.4985,14.4905,15.3683,105279.483,0
ppsspp_like,50,1000,draws,18.8565,18.4415,22.9233,4.2462,8.1265,23.1027,26.9111,30.9215,43285.064,0
ppsspp_optimized,50,1000,draws,8.7824,8.4704,11.3194,3.6050,6.9886,12.3875,16.3880,17.7514,80726.818,0
fill_1x,50,130560,pixels,0.1114,0.0910,0.1572,1.7559,3.9982,1.8674,4.0747,8.5723,69916906.734,0
fill_8x,50,1044480,pixels,0.1411,0.1379,0.1719,2.7300,4.8923,2.8711,5.0593,8.0121,363788403.155,0
fill_32x,50,4177920,pixels,0.2716,0.2550,0.4047,4.2206,6.5933,4.4922,6.8416,8.0809,930037926.373,0
fill_32x_discard,50,4177920,pixels,0.2641,0.2561,0.3227,4.2430,7.0274,4.5071,7.2941,9.0234,926962543.748,0
upload_4mb,50,4194304,bytes,3.3371,3.0865,4.8276,0.9903,4.7428,4.3273,8.4412,9.7698,969257796.270,0
readback,50,522240,bytes,1.2880,1.1730,2.3268,0.7340,2.1031,2.0221,4.2978,7.3807,258269530.842,0
swap,50,1,frames,6.7924,6.1938,14.0930,1.7689,3.9476,8.5613,16.5953,18.5308,116.804,0
