# qnx_gles2_bench_version=1
# gl_vendor=Qualcomm
# gl_renderer=Adreno (TM) 320
# gl_version=OpenGL ES 2.0 3929146
# surface=1024x480
# render=480x272
# requested_buffers=3
# actual_render_buffers=3
# routed=0
scenario,samples,work_per_sample,work_unit,call_mean_ms,call_p50_ms,call_p95_ms,finish_mean_ms,finish_p95_ms,total_mean_ms,total_p95_ms,total_max_ms,work_per_second,gl_errors
clear,20,130560,pixels,0.0504,0.0000,0.0000,0.6547,1.0072,0.7050,1.0072,4.0287,185183372.814,0
draw_100,20,100,draws,0.6043,1.0072,1.0072,3.5755,7.0503,4.1798,7.0503,11.0791,23924.441,0
draw_500,20,500,draws,2.2158,2.0144,3.0216,3.6259,9.0647,5.8417,11.0791,12.0862,85591.749,0
draw_1000,20,1000,draws,4.7841,5.0359,6.0431,4.3813,7.0503,9.1654,13.0934,14.1006,109105.965,0
uniform_1000x4,20,1000,draws,15.2589,15.1078,19.1366,5.6402,12.0862,20.8991,26.1869,29.2084,47848.881,0
texture_1000,20,1000,draws,14.2013,14.1006,17.1222,5.7410,13.0934,19.9423,26.1869,27.1940,50144.661,0
state_1000,20,1000,draws,7.8057,7.0503,11.0791,4.2302,9.0647,12.0359,16.1150,23.1653,83084.877,0
ppsspp_like,20,1000,draws,16.8704,16.1150,19.1366,4.9856,8.0575,21.8560,27.1940,27.1940,45754.114,0
fill_1x,20,130560,pixels,0.0000,0.0000,0.0000,3.5755,8.0575,3.5755,8.0575,10.0719,36515031.259,0
fill_8x,20,1044480,pixels,0.1007,0.0000,1.0072,2.5683,6.0431,2.6690,6.0431,11.0791,391330901.041,0
fill_32x,20,4177920,pixels,0.0504,0.0000,0.0000,5.8417,11.0791,5.8920,11.0791,13.0934,709078213.851,0
upload_4mb,20,4194304,bytes,2.9712,3.0216,3.0216,1.8129,4.0287,4.7841,7.0503,8.0575,876710450.414,0
readback,20,522240,bytes,1.3597,1.0072,4.0287,0.2518,1.0072,1.6115,4.0287,4.0287,324070902.424,0
swap,20,1,frames,7.3525,5.0359,16.1150,1.1583,3.0216,8.5107,18.1294,19.1366,117.499,0
