# qnx_gles2_bench_version=1
# gl_vendor=Qualcomm
# gl_renderer=Adreno (TM) 320
# gl_version=OpenGL ES 2.0 3929146
# surface=1024x480
# render=480x272
# requested_buffers=3
# actual_render_buffers=3
# routed=1
# cpu_affinity=-1
# timer=ClockCycles
# timer_cycles_per_second=6750000
# timer_syspage_raw=28991029248000000
# timer_tick_shift=32
scenario,samples,work_per_sample,work_unit,call_mean_ms,call_p50_ms,call_p95_ms,finish_mean_ms,finish_p95_ms,total_mean_ms,total_p95_ms,total_max_ms,work_per_second,gl_errors
clear,30,130560,pixels,0.0728,0.0680,0.1046,2.0230,4.8902,2.0958,4.9904,6.2132,62295665.906,0
draw_100,30,100,draws,0.4977,0.4874,0.6107,3.0585,10.7298,3.5562,11.1972,12.9684,28119.770,0
draw_500,30,500,draws,2.1871,2.1093,2.5255,3.8441,9.9732,6.0311,11.9406,15.6196,82903.062,0
draw_1000,30,1000,draws,4.7692,4.6201,5.3868,4.0846,9.8557,8.8539,14.6224,16.2132,112945.198,0
uniform_1000x4,30,1000,draws,15.5800,15.0281,20.7003,5.5253,13.7228,21.1053,29.2396,29.9221,47381.523,0
texture_1000,30,1000,draws,14.8571,14.3892,18.9594,4.8081,10.3399,19.6652,26.6403,26.7911,50851.277,0
state_1000,30,1000,draws,7.6712,7.1801,10.7793,3.8881,8.3157,11.5592,19.0530,19.9761,86510.848,0
ppsspp_like,30,1000,draws,18.2631,17.4013,24.5070,5.5235,13.9926,23.7866,34.3265,37.3710,42040.525,0
fill_1x,30,130560,pixels,0.1019,0.0988,0.1430,2.9786,8.3213,3.0805,8.4778,10.5751,42382753.466,0
fill_8x,30,1044480,pixels,0.1382,0.1324,0.1873,3.4645,6.5188,3.6027,6.6674,12.1139,289912256.447,0
fill_32x,30,4177920,pixels,0.2539,0.2499,0.3236,6.0979,11.5126,6.3518,11.7444,12.8401,657752986.186,0
upload_4mb,30,4194304,bytes,3.0491,2.9096,4.1161,1.7271,5.0024,4.7763,8.1997,10.0428,878155409.345,0
readback,30,522240,bytes,1.4828,1.0655,4.2510,0.8454,3.3479,2.3282,6.4164,9.9163,224310427.122,0
swap,30,1,frames,7.0365,7.5905,14.6779,2.0242,4.8581,9.0607,19.5360,20.4615,110.366,0
